Date,Time,Name,Score,Mode,Difficulty
2026-08-03,15:50:54,fff,498.7,—,Standard
2026-08-05,11:24:50,hff,471.57,Mixed,Standard
2026-08-03,15:53:47,fff,461.88,—,Standard
2026-08-05,10:51:42,fdvd,454.45,—,Standard
2026-08-05,11:44:38,fff,0.0,Manual,Standard
2026-08-05,11:45:17,dasa,0.0,Mixed,Standard
2026-08-05,11:45:58,dd,0.0,Mixed,Standard
2026-08-05,11:55:00,dsvsvs,0.0,Mixed,Standard
2026-08-05,12:01:05,vdfs,0.0,Manual,Standard
2026-08-05,12:14:44,dddd,0.0,Mixed,Standard
2026-08-05,13:17:00,gbgb,0.0,Auto,Standard
2026-08-05,13:30:05,asdfas,0.0,Mixed,Standard
